Community_Area,Property_Status,Total_count
ALBANY PARK,Owned by City,47
ALBANY PARK,Sold,7
ARCHER HEIGHTS,Owned by City,6
ARMOUR SQUARE,Owned by City,17
ARMOUR SQUARE,Sold,10
ASHBURN,Owned by City,22
AUBURN GRESHAM,Not City Owned,14
AUBURN GRESHAM,Owned by City,219
AUBURN GRESHAM,Sold,103
AUSTIN,In Acquisition,1
AUSTIN,Not City Owned,3
AUSTIN,Owned by City,359
AUSTIN,Sold,248
AVALON PARK,Not City Owned,23
AVALON PARK,Owned by City,37
AVALON PARK,Sold,12
AVONDALE,Owned by City,14
AVONDALE,Sold,6
BELMONT CRAGIN,Owned by City,24
BELMONT CRAGIN,Sold,5
BEVERLY,Owned by City,34
BEVERLY,Sold,9
BRIDGEPORT,Owned by City,45
BRIDGEPORT,Sold,12
BRIGHTON PARK,Owned by City,16
BRIGHTON PARK,Sold,3
BURNSIDE,Not City Owned,1
BURNSIDE,Owned by City,33
BURNSIDE,Sold,13
CALUMET HEIGHTS,Not City Owned,3
CALUMET HEIGHTS,Owned by City,15
CALUMET HEIGHTS,Sold,11
CHATHAM,Not City Owned,9
CHATHAM,Owned by City,98
CHATHAM,Sold,12
CHICAGO LAWN,Owned by City,81
CHICAGO LAWN,Sold,33
CLEARING,Owned by City,13
CLEARING,Sold,1
DOUGLAS,Owned by City,195
DOUGLAS,Sold,41
DUNNING,Owned by City,8
EAST GARFIELD PARK,Not City Owned,8
EAST GARFIELD PARK,Owned by City,597
EAST GARFIELD PARK,Sold,385
EAST SIDE,Not City Owned,7
EAST SIDE,Owned by City,55
EAST SIDE,Sold,9
EDGEWATER,In Acquisition,6
EDGEWATER,Owned by City,20
EDGEWATER,Sold,5
ENGLEWOOD,In Acquisition,1
ENGLEWOOD,Not City Owned,56
ENGLEWOOD,Owned by City,1386
ENGLEWOOD,Sold,481
FOREST GLEN,Owned by City,6
FULLER PARK,Not City Owned,2
FULLER PARK,Owned by City,243
FULLER PARK,Sold,51
GAGE PARK,Owned by City,41
GAGE PARK,Sold,3
GARFIELD RIDGE,Owned by City,23
